"","x","y"
"51781419",760080,-408360
"17607074",752610,-273480
"26903953",778290,-310170
"12973177",834000,-255180
"45326258",702720,-382890
"11057991",841980,-247620
"23922940",735660,-298410
"9789345",863610,-242610
"9659453",843360,-242100
"51987582",788160,-409170
"45843078",701280,-384930
"48093498",717000,-393810
"47492340",696630,-391440
"20891632",780390,-286440
"32989881",704100,-334200
"49286282",699810,-398520
"34618158",753990,-340620
"35650626",715950,-344700
"35469422",752550,-343980
"28963901",780600,-318300
"48883379",698310,-396930
"49468150",683130,-399240
"12905971",870090,-254910
"10819983",770670,-246690
"3027995",741780,-215940
"44519808",680400,-379710
"26894650",727230,-310140
"18020546",843150,-275100
"12894609",757260,-254880
"46969551",747030,-389370
"13171823",864600,-255960
"12646785",847530,-253890
"1924755",708930,-211590
"29224018",831090,-319320
"43441021",697050,-375450
"43152760",714360,-374310
"26496257",861030,-308550
"50398621",777600,-402900
"29480368",768570,-320340
"27212579",687840,-311400
"44975490",669060,-381510
"37254322",712500,-351030
"30946137",731850,-326130
"51674874",756150,-407940
"39409698",841290,-359520
"10457692",847380,-245250
"53372282",827700,-414630
"43958079",702750,-377490
"44434071",844650,-379350
"28893195",711690,-318030
"24350794",801600,-300090
"33118786",694740,-334710
"50441580",698190,-403080
"26522626",739980,-308670
"26695681",686940,-309360
"50543262",784260,-403470
"34676647",684420,-340860
"8215239",842640,-236400
"16370123",812970,-268590
"21885241",716730,-290370
"45137938",753870,-382140
"22223752",838740,-291690
"25292062",763920,-303810
"8990815",850860,-239460
"23964493",842100,-298560
"29255234",855450,-319440
"50110154",788730,-401760
"8435469",836670,-237270
"6054408",778230,-227880
"8826600",713040,-238830
"19416774",772470,-280620
"16413338",741240,-268770
"9918606",864930,-243120
"29922124",795510,-322080
"41594011",698040,-368160
"26252884",856800,-307590
"12255163",728400,-252360
"25444523",777150,-304410
"29601128",742890,-320820
"13881144",709410,-258780
"11603038",775230,-249780
"23987237",840330,-298650
"29413243",807090,-320070
"44145058",839400,-378210
"15260293",810450,-264210
"44081072",744060,-377970
"8135923",743460,-236100
"16035325",802350,-267270
"14032549",690960,-259380
"33799370",817590,-337380
"27151734",686730,-311160
"29063767",812190,-318690
"15214991",819570,-264030
"54672291",834840,-419760
"27048062",768990,-310740
"32031642",688710,-330420
"31251317",766050,-327330
"11716773",766830,-250230
"24425091",750210,-300390
"10556819",856800,-245640
"22285631",870870,-291930
"17337014",859890,-272400
"43703666",823380,-376470
"26889927",813570,-310110
"46506807",774540,-387540
"36285087",823290,-347190
"45003288",818910,-381600
"21823779",697110,-290130
"50748588",787230,-404280
"25163618",787110,-303300
"29536476",855600,-320550
"23537535",803040,-296880
"32947057",787560,-334020
"19928483",845730,-282630
"9578587",697680,-241800
"17963691",733710,-274890
"39029973",851040,-358020
"37084167",852540,-350340
"22857283",690150,-294210
"40825663",678630,-365130
"25564979",742350,-304890
"44779781",726570,-380730
"45209357",844170,-382410
"22100762",797520,-291210
"34320526",718200,-339450
"9935973",701850,-243210
"14158537",822120,-259860
"41042985",813450,-365970
"19774577",789150,-282030
"19425411",803550,-280650
"16455607",869160,-268920
"42780750",727530,-372840
"31925606",700050,-330000
"16642409",772470,-269670
"32377870",814200,-331770
"43227631",680190,-374610
"10960341",876870,-247230
"38705520",694710,-356760
"47333983",734550,-390810
"11730840",732780,-250290
"46363968",821940,-386970
"46856822",785610,-388920
"52426885",741510,-410910
"22071823",841470,-291090
"28805390",813900,-317670
"25119892",843510,-303120
"24409818",748080,-300330
"2958772",717360,-215670
"23746695",693000,-297720
"27577799",699000,-312840
"29228846",747900,-319350
"13353582",844650,-256680
"10711183",699090,-246270
"42988367",799230,-373650
"26144021",783330,-307170
"14049542",744690,-259440
"50855663",807060,-404700
"15524879",766980,-265260
"22462180",694620,-292650
"26338666",693900,-307950
"33350019",790830,-335610
"48283787",724920,-394560
"52216989",829470,-410070
"12156048",719340,-251970
"45583749",674430,-383910
"9854956",779670,-242880
"10186911",705000,-244200
"41368091",761340,-367260
"54603586",825960,-419490
"45615550",716340,-384030
"15700153",780510,-265950
"20524022",697530,-285000
"19092554",851160,-279330
"46764106",740490,-388560
"51851210",801540,-408630
"44789831",800040,-380760
"29179425",861480,-319140
"4982545",774570,-223650
"3552317",737370,-218010
"51182547",808290,-405990
"47640986",823440,-392010
"9404275",713010,-241110
"25279073",830310,-303750
"21706619",830790,-289650
"32690853",854460,-333000
"25680595",790380,-305340
"18164286",822780,-275670
"48464329",668460,-395280
"51552685",738960,-407460
"21538735",810930,-288990
"22534982",826410,-292920
"42779042",676290,-372840
"11111958",864780,-247830
"14338942",761550,-260580
"27871449",843360,-313980
"20212808",710340,-283770
"45284814",827580,-382710
"36705926",678780,-348870
"45715170",740550,-384420
"44641312",677040,-380190
"13091777",743520,-255660
"38464760",768870,-355800
"35820582",797970,-345360
"12570249",831750,-253590
"46393726",802560,-387090
"20487056",728700,-284850
"12148978",735270,-251940
"43665433",816540,-376320
"53232580",741180,-414090
"53935039",836190,-416850
"8591251",721500,-237900
"40586161",790530,-364170
"35197903",816060,-342900
"43714007",677550,-376530
"4275475",769260,-220860
"16537051",804150,-269250
"14643391",773820,-261780
"14033028",705330,-259380
"37638230",828240,-352530
"44552271",742170,-379830
"26511456",860940,-308610
"47759111",718710,-392490
"18994117",862440,-278940
"10477863",768420,-245340
"53197736",836010,-413940
"47401407",705000,-391080
"54968632",831900,-420930
"47606783",709470,-391890
"13037228",703260,-255450
"12827235",788310,-254610
"18214216",724470,-275880
"33076620",797940,-334530
"38647919",790920,-356520
"13435044",780180,-257010
"35589055",693060,-344460
"47897814",775260,-393030
"46521114",747690,-387600
"18611675",790680,-277440
"14096917",797760,-259620
"21363424",796290,-288300
"45875502",761880,-385050
"27076708",716250,-310860
"34889835",695220,-341700
"13694241",803070,-258030
"14093448",693690,-259620
"44238574",680490,-378600
"17275917",851220,-272160
"32898919",711600,-333840
"32537461",813300,-332400
"28014955",815970,-314550
"51082383",767760,-405600
"19283137",867900,-280080
"15211754",722460,-264030
"6615403",733860,-230100
"33206134",806850,-335040
"26537044",716460,-308730
"2107255",711210,-212310
"28502979",862770,-316470
"6479683",766800,-229560
"42073528",717660,-370050
"48392270",786990,-394980
"22285552",868500,-291930
"45434486",757140,-383310
"24565655",862590,-300930
"4957312",701670,-223560
"24098993",772560,-299100
"28003310",694650,-314520
"15616451",777780,-265620
"19969324",702780,-282810
"28717733",692520,-317340
"43824592",802680,-376950
"12980455",824310,-255210
"34859710",703590,-341580
"36717161",787800,-348900
"29285140",840510,-319560
"29284541",822540,-319560
"48667152",824370,-396060
"54815524",799260,-420330
"34843742",680610,-341520
"18756863",813750,-278010
"22496581",814530,-292770
"28700309",853890,-317250
"23405570",720600,-296370
"11773052",858990,-250440
"41396675",706740,-367380
"23735881",824640,-297660
"43967483",756840,-377520
"49714371",772800,-400200
"45258245",714600,-382620
"17441720",808650,-272820
"30151159",825660,-322980
"17638007",768480,-273600
"40037399",745830,-362010
"3849284",753210,-219180
"8852985",820500,-238920
"17929289",841800,-274740
"10555342",812490,-245640
"26224653",693960,-307500
"25473332",729300,-304530
"37629358",790110,-352500
"26259187",817860,-307620
"40070876",838020,-362130
"1947673",712380,-211680
"6790500",742080,-230790
"53128806",820380,-413670
"6775620",751740,-230730
"38371501",707460,-355440
"19815396",873570,-282180
"8959540",824730,-239340
"27584931",684930,-312870
"50650402",806040,-403890
"5620010",744000,-226170
"21857534",797640,-290250
"17868501",842400,-274500
"9763051",758880,-242520
"52824639",816570,-412470
"54084890",771120,-417450
"53499444",766050,-415140
"14901775",772320,-262800
"23618965",737610,-297210
"55134778",799620,-421590
"27906648",759180,-314130
"17312039",794730,-272310
"49065953",702810,-397650
"41762110",724350,-368820
"24471589",776970,-300570
"20862251",811080,-286320
"54746841",791040,-420060
"33463581",777240,-336060
"35492281",754230,-344070
"26994744",765660,-310530
"23765411",798420,-297780
"10574261",695970,-245730
"17322215",871980,-272340
"15781683",718080,-266280
"19054791",858420,-279180
"48141625",792630,-393990
"16962450",796440,-270930
"37021365",792720,-350100
"46362471",777030,-386970
"15169978",837360,-263850
"1020108",705090,-208020
"8783218",779760,-238650
"38340778",697890,-355320
"55051695",815460,-421260
"30102285",727620,-322800
"37790824",845460,-353130
"16951645",700320,-270900
"31938187",849450,-330030
"41961568",779310,-369600
"23560864",818820,-296970
"19320709",854910,-280230
"33043629",720330,-334410
"40719628",690000,-364710
"40001767",817020,-361860
"46106445",849270,-385950
"44627062",705600,-380130
"38349448",729960,-355350
"7285855",780780,-232740
"25108164",719700,-303090
"39468256",773790,-359760
"44834467",770940,-380940
"10430877",727020,-245160
"17652466",746190,-273660
"52504088",777300,-411210
"29515750",689880,-320490
"8100710",827220,-235950
"38234580",704370,-354900
"8595172",839130,-237900
"22064677",855120,-291060
"10136215",780330,-243990
"31867053",767700,-329760
"14220605",859920,-260100
"12718159",708450,-254190
"43262876",825420,-374730
"14528801",756570,-261330
"5170435",710520,-224400
"34627337",801330,-340650
"26782230",775080,-309690
"19993810",753270,-282900
"45003973",839460,-381600
"10692277",816000,-246180
"17911419",761760,-274680
"16363436",840390,-268560
"13006894",705360,-255330
"31548224",780090,-328500
"33571299",816360,-336480
"19815405",873840,-282180
"26594784",852450,-308940
"14295949",839940,-260400
"40995049",743550,-365790
"37591059",781290,-352350
"45367108",788070,-383040
"14159913",863400,-259860
"25874923",691440,-306120
"21727245",765480,-289740
"18414709",810480,-276660
"42658892",720270,-372360
"15763782",865140,-266190
"19378836",774480,-280470
"43754561",754020,-376680
"47904086",735390,-393060
"49935226",785580,-401070
"17783326",795480,-274170
"29526862",795210,-320520
"40028308",701130,-361980
"24745152",774780,-301650
"12904549",827430,-254910
"31928412",784230,-330000
"33798630",795390,-337380
"15360007",837480,-264600
"29044348",685680,-318630
"15859087",759900,-266580
"27958180",708930,-314340
"19178578",695520,-279690
"42376649",690090,-371250
"38571587",781260,-356220
"27779245",813600,-313620
"54055360",797340,-417330
"21130199",868470,-287370
"11009827",765240,-247440
"38588674",837810,-356280
"17139793",872040,-271620
"10785586",878910,-246540
"2198064",699120,-212670
"30656012",693240,-324990
"13251330",741480,-256290
"34099753",707880,-338580
"11325161",876030,-248670
"40290309",808140,-363000
"25754341",722460,-305640
"35702521",676590,-344910
"18831290",766260,-278310
"23429155",744060,-296460
"47375058",826650,-390960
"25289482",686520,-303810
"39176320",680850,-358620
"21344534",685650,-288240
"46946993",754380,-389280
"11886671",847110,-250890
"12964033",787710,-255150
"5901912",763950,-227280
"27643214",837210,-313080
"45729739",721560,-384480
"11780269",847470,-250470
"39401493",823170,-359490
"39127990",827160,-358410
"38355511",683820,-355380
"22710731",854190,-293610
"23547039",860130,-296910
"50914280",741330,-404940
"13495353",765210,-257250
"6685414",781920,-230370
"15692487",778560,-265920
"13767217",712050,-258330
"54292539",843780,-418260
"49328030",812100,-398670
"12113660",815880,-251790
"40343139",796830,-363210
"48735672",827700,-396330
"31303308",729570,-327540
"45032380",779550,-381720
"10263252",714930,-244500
"44658279",729990,-380250
"28668152",801300,-317130
"30500248",808950,-324360
"32412872",724110,-331920
"9833421",817710,-242790
"45784682",773640,-384690
"52609260",740040,-411630
"18572677",760890,-277290
"19024868",872850,-279060
"21295559",812610,-288030
"7918589",836310,-235230
"26065229",699870,-306870
"49589562",677010,-399720
"8622542",748110,-238020
"34214362",725700,-339030
"41591538",851880,-368130
"50403604",699060,-402930
"49105893",760860,-397800
"32837102",681330,-333600
"23855151",754260,-298140
"27718842",825750,-313380
"13206292",758520,-256110
"28454131",765510,-316290
"49352012",847470,-398760
"44952975",677700,-381420
"56047971",831810,-425190
"41167967",686400,-366480
"29519836",812460,-320490
"33029082",739980,-334350
"47495446",789810,-391440
"42765263",718980,-372780
"23570189",870540,-297000
"27334385",693540,-311880
"24955971",714510,-302490
"11747676",781800,-250350
"19950015",807600,-282720
"42566962",698730,-372000
"5287250",794520,-224850
"30179937",776880,-323100
"12573966",715230,-253620
"45895527",678540,-385140
"44522849",771630,-379710
"28399645",727140,-316080
"34475695",812670,-340050
"20989189",742710,-286830
"19499435",743970,-280950
"48441351",663210,-395190
"21771597",727860,-289920
"30743496",809430,-325320
"35524436",806760,-344190
"28489405",683580,-316440
"37676657",840900,-352680
"10080265",698040,-243780
"22426208",755610,-292500
"33843643",777600,-337560
"14694077",698190,-261990
"45040256",787800,-381750
"49810078",679620,-400590
"11042017",818820,-247560
"20048429",795630,-283110
"48663330",709710,-396060
"29298449",783720,-319620
"40123231",812460,-362340
"21399819",747990,-288450
"32292712",767790,-331440
"15192287",822540,-263940
"16764295",780570,-270150
"37164467",753210,-350670
"39873651",850050,-361350
"46098537",840060,-385920
"47707074",753810,-392280
"40015478",772290,-361920
"46348617",817470,-386910
"18703689",814740,-277800
"39854234",723600,-361290
"13189066",697800,-256050
"44716906",664560,-380490
"8659155",706350,-238170
"48929626",717540,-397110
"9557900",761160,-241710
"20535909",826110,-285030
"11734923",855270,-250290
"50719718",833250,-404160
"10913440",838020,-247050
"30968699",724620,-326220
"16892350",745710,-270660
"25034688",795720,-302790
"19963116",744570,-282780
"19601965",855480,-281340
"43596562",802680,-376050
"16013502",831750,-267180
"36175875",739350,-346770
"7764341",769470,-234630
"27957202",679590,-314340
"10932507",725940,-247140
"32838396",720150,-333600
"40381376",803790,-363360
"14546603",834570,-261390
"46713381",814950,-388350
"45300202",833160,-382770
"34583208",845640,-340470
"46890865",666750,-389070
"46428541",706860,-387240
"31111738",683220,-326790
"22564913",812220,-293040
"21932896",778200,-290550
"33674583",722460,-336900
"7300715",770520,-232800
"52913353",741630,-412830
"39878512",767850,-361380
"41788543",833250,-368910
"29809270",830340,-321630
"4891683",785070,-223290
"41382739",744720,-367320
"44236086",833880,-378570
"30470851",839160,-324240
"8373809",811110,-237030
"51091308",807480,-405630
"37158221",793860,-350640
"28886804",747990,-318000
"37200794",702870,-350820
"30359611",694380,-323820
"26153742",846930,-307200
"39595141",703830,-360270
"4420139",776610,-221430
"52031046",723900,-409350
"30077789",676830,-322710
"8661383",773190,-238170
"5064348",720330,-223980
"22801506",841080,-293970
"11511409",762720,-249420
"47366784",806460,-390930
"19817787",717270,-282210
"23755394",725940,-297750
"43456935",718410,-375510
"40812184",730320,-365070
"24448463",767280,-300480
"39865464",832470,-361320
"35858214",786780,-345510
"35345516",683850,-343500
"44015476",828450,-377700
"22756881",870510,-293790
"26507628",746100,-308610
"27389329",745650,-312090
"22634472",846720,-293310
"17212637",777060,-271920
"19706735",806160,-281760
"4076370",724890,-220080
"23483996",793080,-296670
"41360143",750930,-367230
"9002932",758310,-239520
"15980762",761670,-267060
"36982275",760170,-349950
"43040905",779160,-373860
"26099171",806010,-306990
"2449042",703470,-213660
"29133119",840480,-318960
"29434924",773430,-320160
"44398430",687540,-379230
"45233788",664980,-382530
"22707812",766620,-293610
"8738913",818790,-238470
"25564722",734640,-304890
"10841176",722370,-246780
"50153241",713160,-401940
"42918864",766410,-373380
"40354337",676710,-363270
"3817933",724800,-219060
"23036740",829170,-294900
"8593290",782670,-237900
"25528638",792270,-304740
"48405284",721350,-395040
"49265335",755490,-398430
"10050812",726570,-243660
"23142121",798180,-295320
"6615705",742920,-230100
"43062254",735540,-373950
"10194167",694650,-244230
"13039285",764970,-255450
"15743373",708930,-266130
"41146108",714720,-366390
"14622005",816330,-261690
"40076297",772620,-362160
"39111928",801360,-358350
"14189544",840210,-259980
"33167257",780690,-334890
"28803632",761160,-317670
"45601091",738630,-383970
"40485681",740520,-363780
"7445802",790560,-233370
"16473016",707340,-269010
"38797511",718080,-357120
"39929060",688080,-361590
"30382297",690870,-323910
"27420759",776430,-312210
"37084057",849240,-350340
"12137306",841170,-251880
"45469685",672960,-383460
"41187776",824610,-366540
"12157664",767820,-251970
"6174174",722730,-228360
"30207648",696090,-323220
"5633726",699420,-226230
"5360394",708540,-225150
"13242779",712980,-256260
"49047438",831450,-397560
"2243936",707100,-212850
"8629416",726300,-238050
"30462003",801750,-324210
"16186165",766950,-267870
"40397076",818730,-363420
"7558355",746700,-233820
"37922782",699660,-353670
"31255932",676470,-327360
"12904626",829740,-254910
"40945480",852690,-365580
"21440734",835290,-288600
"27175390",712320,-311250
"35316419",723060,-343380
"13468067",858750,-257130
"43312984",732450,-374940
"14931443",750240,-262920
"19298455",871380,-280140
"43960219",766950,-377490
"28071524",688800,-314790
"33405079",846420,-335820
"17030749",793140,-271200
"19186063",692040,-279720
"38138680",791760,-354510
"18956181",864510,-278790
"18157725",853980,-275640
"8289410",787470,-236700
"9442156",709290,-241260
"32566361",768180,-332520
"24309113",691320,-299940
"9042301",799230,-239670
"14473836",703830,-261120
"55515164",809700,-423090
"20233074",862260,-283830
"37869242",689670,-353460
"17101727",870210,-271470
"7589030",754830,-233940
"9270551",805830,-240570
"45720525",673170,-384450
"31048271",831480,-326520
"20923690",830010,-286560
"4410666",720450,-221400
"48170376",743040,-394110
"4038810",738240,-219930
"22461763",682110,-292650
"26773442",739470,-309660
"35130954",859860,-342630
"29142834",675870,-319020
"22495493",781890,-292770
"38197515",732570,-354750
"13629813",694470,-257790
"20413601",805350,-284550
"15914821",835710,-266790
"45624966",770790,-384060
"3520962",708840,-217890
"51371880",787530,-406740
"17159199",770130,-271710
"29972638",714720,-322290
"14574498",759300,-261510
"6881496",735600,-231150
"41374575",727830,-367290
"26970278",715770,-310440
"5785787",700650,-226830
"45691146",703920,-384330
"13615255",713790,-257730
"19919249",796740,-282600
"43292127",790830,-374850
"33316499",697350,-335490
"35261676",676980,-343170
"11306497",772170,-248610
"51910774",764220,-408870
"24681859",700230,-301410
"45018953",832800,-381660
"35585206",805620,-344430
"32371456",849810,-331740
"48621140",812190,-395880
"45235044",702660,-382530
"14296663",861360,-260400
"10049998",702150,-243660
"43147161",774420,-374280
"16543024",755310,-269280
"53727918",779370,-416040
"9901856",818490,-243060
"18512077",767130,-277050
"38789273",698970,-357090
"41864653",836250,-369210
"25338067",775890,-303990
"35278634",729660,-343230
"10475407",694740,-245340
"12585256",825900,-253650
"24448939",781560,-300480
"48330806",767310,-394740
"45748203",819420,-384540
"8987502",751470,-239460
"11807902",764340,-250590
"39825934",786720,-361170
"48567892",810960,-395670
"52518111",741930,-411270
"23223609",734490,-295650
"40549112",819210,-364020
"23264355",816720,-295800
"3484363",751020,-217740
"41180831",844290,-366510
"20393029",872280,-284460
"8746732",825330,-238500
"17351510",838710,-272460
"9358339",703110,-240930
"20653548",706800,-285510
"43489047",769650,-375630
"24975827",854130,-302550
"1271418",719400,-209010
"20520947",833310,-284970
"31028667",699420,-326460
"49485075",734820,-399300
"53347364",764250,-414540
"30226488",805230,-323280
"8334745",779340,-236880
"12852084",849690,-254700
"11684278",704100,-250110
"3012566",734970,-215880
"34024651",735120,-338280
"25911009",861900,-306240
"10688228",694530,-246180
"17986755",741540,-274980
"27768584",721800,-313590
"39765532",798900,-360930
"13166442",703170,-255960
"49653560",772710,-399960
"48127144",814260,-393930
"34512143",765960,-340200
"19583533",758580,-281280
"54367166",802290,-418560
"57256567",832920,-429960
"31661644",762240,-328950
"40553628",726660,-364050
"18892373",774510,-278550
"41255460",802860,-366810
"39563514",667140,-360150
"22282350",772440,-291930
"44037457",803790,-377790
"53927186",828630,-416820
"42829003",806940,-373020
"21073636",767790,-287160
"12760183",829020,-254340
"17236484",808380,-272010
"37626511",704700,-352500
"3848786",738270,-219180
"43073512",845250,-373980
"17327170",792600,-272370
"30060067",829260,-322620
"35811426",751320,-345330
"49543880",674730,-399540
"47995505",741600,-393420
"29881889",728610,-321930
"4995442",705420,-223710
"16966499",689880,-270960
"24349236",754860,-300090
"41825172",791970,-369060
"32406860",771780,-331890
"13192490",800520,-256050
"35160663",839010,-342750
"33707134",786870,-337020
"14906867",697050,-262830
"20562829",721590,-285150
"53065916",757920,-413430
"42365085",799230,-371190
"18733277",790260,-277920
"21270000",729930,-287940
"37819490",793320,-353250
"49454261",722520,-399180
"37230389",678600,-350940
"30056618",725790,-322620
"31658771",676050,-328950
"30404685",678420,-324000
"27932770",858750,-314220
"35750012",733140,-345090
"29007993",735180,-318480
"22927963",758280,-294480
"41377897",827490,-367290
"41016545",704340,-365880
"31245367",815580,-327300
"5020055",759720,-223800
"48115391",689700,-393900
"23714366",863280,-297570
"24383338",865800,-300210
"19623832",827400,-281430
"23590782",804240,-297090
"42453030",701220,-371550
"3118498",720510,-216300
"35749499",717750,-345090
"43125333",803670,-374190
"22204663",722130,-291630
"34240468",824790,-339120
"10249560",760230,-244440
"22075399",720720,-291120
"18034791",814440,-275160
"13763442",826830,-258300
"7954923",786180,-235380
"41352614",753090,-367200
"7648274",707910,-234180
"27380556",710490,-312060
"17818008",695790,-274320
"21699799",854220,-289620
"22259693",776820,-291840
"19176513",861600,-279660
"17729865",787860,-273960
"41490023",770820,-367740
"31426507",777060,-328020
"36771158",811500,-349110
"49258701",784500,-398400
"30294930",806220,-323550
"47454725",708330,-391290
"55652969",839310,-423630
"26327989",829650,-307890
"30523947",835830,-324450
"23610468",710730,-297180
"57165422",834930,-429600
"41967884",740760,-369630
"28091932",844980,-314850
"47730055",759150,-392370
"34481278",752130,-340080
"43559638",835110,-375900
"6196593",711210,-228450
"11938840",815970,-251100
"16454003",821040,-268920
"15655196",799980,-265770
"27779781",829680,-313620
"4258786",724650,-220800
"34433263",679860,-339900
"37071808",709800,-350310
"40103535",677640,-362280
"39782547",853290,-360990
"26065790",716700,-306870
"16884061",725070,-270630
"35768413",829110,-345150
"57895169",836460,-432480
"18690125",863880,-277740
"35500371",768900,-344100
"24128049",732120,-299220
"14949631",839820,-262980
"11857035",870150,-250770
"50839253",770820,-404640
"34518834",738660,-340230
"5399044",727890,-225300
"27702716",798030,-313320
"15618520",839850,-265620
"58320839",836880,-434160
"34499686",848310,-340140
"28992271",719580,-318420
"19956841",784350,-282750
"11994036",875640,-251310
"35668266",789090,-344760
"19434932",861150,-280680
"5978978",795630,-227580
"15622108",719460,-265650
"4508982",705540,-221790
"26690388",756180,-309330
"45543989",849810,-383730
"13264940",693720,-256350
"28296930",838110,-315660
"13651051",875550,-257850
"43679394",779310,-376380
"28251749",850860,-315480
"34063138",749580,-338430
"49977683",691110,-401250
"16710445",761280,-269940
"21642234",723480,-289410
"39552071",779910,-360090
"19316991",743370,-280230
"10576086",750720,-245730
"14701594",695670,-262020
"22234430",703020,-291750
"52373637",740280,-410700
"19510872",859050,-280980
"35255927",732540,-343140
"6143047",701040,-228240
"22452376",856560,-292590
"14445407",763080,-261000
"11400524",856620,-248970
"48483556",789210,-395340
"38082352",698130,-354300
"36634317",810810,-348570
"35690106",760200,-344850
"36842776",679740,-349410
"12780578",756780,-254430
"40299036",841920,-363030
"43298937",767100,-374880
"48272173",832560,-394500
"46917626",785490,-389160
"50571897",731190,-403590
"45300105",830250,-382770
"49243159",774300,-398340
"39452921",769800,-359700
"42892649",664050,-373290
"39687933",751230,-360630
"24515443",724410,-300750
"51446182",736290,-407040
"48632877",708240,-395940
"41870844",793950,-369240
"20391943",839700,-284460
"48515836",845490,-395460
"17527348",869160,-273150
"22433757",754050,-292530
"6539274",730290,-229800
"12700491",862500,-254100
"7887255",808410,-235110
"26305396",835950,-307800
"32734838",805830,-333180
"1651435",718410,-210510
"8978543",710730,-239430
"27356970",687000,-311970
"5096419",770340,-224100
"31591943",723480,-328680
"54740157",818550,-420030
"53392305",744300,-414720
"14012456",772260,-259290
"33837322",816000,-337530
"11973889",727290,-251250
"6471361",745170,-229530
"44216041",688590,-378510
"13329134",795300,-256590
"3894743",748800,-219360
"30432117",817290,-324090
"30345977",741420,-323760
"56183644",797460,-425730
"50260477",737820,-402360
"31880253",707640,-329820
"44916911",735930,-381270
"8813268",769140,-238770
"46865760",825720,-388950
"13924413",867330,-258930
"26241605",746460,-307560
"21797954",834480,-290010
